Index, Matrix, , , , , , Eig.val, CR, Eig.vec, , , , , LP. vec, , , , ,  
154, 2, 4, 0.333333, 0.5, 0.111111, 0.142857, 4.16578, 0.0625128, , 1, 0.318027, 0.403729, 2.74445, , 1, 0.318027, 0.403729, 2.8261, , 
155, 2, 4, 0.333333, 0.5, 0.111111, 0.125, 4.1664, 0.0627469, , 1, 0.320187, 0.393801, 2.85248, , 1, 0.320187, 0.393801, 2.88169, , 
156, 2, 5, 6, 5, 2, 2, 4.22772, 0.0858687, , 1, 0.580423, 0.205346, 0.173358, , 1, 0.565312, 0.2, 0.168845, , 
157, 2, 5, 9, 4, 3, 3, 4.16554, 0.0624192, , 1, 0.535843, 0.213549, 0.114012, , 1, 0.52221, 0.208116, 0.111111, , 
158, 2, 5, 9, 5, 3, 3, 4.22772, 0.0858687, , 1, 0.580423, 0.205346, 0.115572, , 1, 0.565312, 0.2, 0.112563, , 
159, 2, 5, 0.5, 4, 0.166667, 0.142857, 4.13006, 0.049041, , 1, 0.531012, 0.202609, 2.10997, , 1, 0.524174, 0.2, 2.0828, , 
160, 2, 5, 0.5, 4, 0.142857, 0.142857, 4.16649, 0.0627806, , 1, 0.516341, 0.204294, 2.22468, , 1, 0.505487, 0.2, 2.17792, , 
161, 2, 5, 0.5, 4, 0.125, 0.166667, 4.24605, 0.0927779, , 1, 0.509928, 0.21771, 2.27528, , 1, 0.5, 0.213471, 2.23099, , 
162, 2, 5, 0.5, 4, 0.125, 0.142857, 4.20351, 0.0767391, , 1, 0.504067, 0.205797, 2.33279, , 1, 0.5, 0.204136, 2.31397, , 
163, 2, 5, 0.5, 0.5, 0.166667, 0.166667, 4.22772, 0.0858687, , 1, 0.301925, 0.342938, 1.81836, , 1, 0.301925, 0.342938, 1.81836, , 
